Year,HighTech,HighLab,HighCap,MidTech,MidLab,MidCap,LowTech,LowLab,LowCap,HighEnergy,MidEnergy,LowEnergy
1998,48.37,32.96,29.26,33.02,39.86,62.43,18.6,27.18,8.31,20.07,47.32,32.61
1999,51.84,31.74,32.06,31.24,40.94,60.35,16.91,27.31,7.59,19.6,48.85,31.54
2000,55.57,29.61,36.55,29.58,42.95,56.94,14.84,27.43,6.51,19.77,48.92,31.32
2001,55.82,30.59,36.91,29.85,42.98,56.65,14.31,26.41,6.43,20.74,47.78,31.47
2002,56.99,31.25,40.15,29.91,42.5,54.01,13.1,26.24,5.84,21.2,46.28,32.52
2003,57.64,32.11,45.4,30.74,43.21,49.16,11.61,24.68,5.44,22.32,45.71,31.97
2004,58.23,32.43,51.07,31.47,43.38,44.29,10.28,24.18,4.65,23.91,45.41,30.68
2005,57.65,32.33,55.38,33.12,42.92,40.39,9.22,24.74,4.22,26.21,44.59,29.19
2006,59.54,31.94,59.64,32.1,43.74,36.48,8.35,24.31,3.88,25.82,46.74,27.44
2007,58.87,32.34,62.07,33.33,41.43,34.25,7.79,26.22,3.68,28.26,44.52,27.22
2008,57.14,32.33,62.41,35.6,39.8,33.86,7.24,27.86,3.73,30.34,42.52,27.13
2009,59.35,30.81,61.61,33.42,43.56,34.54,7.22,25.63,3.85,28.42,45.7,25.89
2010,60.72,31.65,62.13,32.64,43.29,34.32,6.63,25.05,3.54,27.65,44.82,27.53
2011,59.04,30.14,60.58,34.4,43.52,35.8,6.55,26.34,3.62,28.77,44.71,26.52
2012,57.53,30.28,61.2,35.53,43.02,34.93,6.93,26.7,3.86,29.31,45.55,25.14
2013,58.6,29.21,62.6,34.56,43.99,33.55,6.84,26.8,3.85,29.42,45.78,24.8
2014,59.3,29.79,62.36,33.57,45.57,33.71,7.13,24.64,3.93,27.84,48.23,23.93
2015,60.29,31.91,59.01,32,48.83,36.69,7.71,19.26,4.3,23.94,51.79,24.27
2016,62.04,30.46,59.79,30.59,51.66,36.2,7.36,17.88,4.02,22.74,54.66,22.6
2017,62.81,28.43,61.16,30.13,53.45,35.09,7.07,18.12,3.75,22.85,55.52,21.62
2018,62.27,27.7,61.38,30.67,52.72,34.93,7.06,19.59,3.69,24.32,55.25,20.42
2019,63.77,27.31,60.24,29.15,53.87,36.07,7.08,18.83,3.68,21.73,56.69,21.58
2020,68.47,25.47,60.85,25.12,58.15,35.66,6.41,16.38,3.49,17.05,60.75,22.2
2021,68.05,24.25,61.87,25.78,58.24,34.71,6.17,17.51,3.42,19.1,59.03,21.87
2022,68.71,22.72,63.82,25.4,60.03,32.95,5.89,17.24,3.23,18.41,61.34,20.25
