Year,TheGDPGrowthRate,World
1952,12,
1953,9.49,
1954,9.64,
1955,7.72,
1956,6.17,
1957,7.81,
1958,7.68,
1959,8.81,
1960,7.2,
1961,7.05,3.800832265
1962,8.93,5.32027962
1963,10.74,5.192420679
1964,12.63,6.568748535
1965,11.89,5.555097453
1966,9.63,5.718963701
1967,11.15,4.164601145
1968,9.71,5.951520316
1969,9.59,5.831523104
1970,11.51,3.91743115
1971,13.43,4.290370729
1972,13.87,5.630388954
1973,12.83,6.423533486
1974,2.67,1.805788012
1975,6.19,0.600328496
1976,14.28,5.297485941
1977,11.41,4.076606763
1978,13.56,4.113672921
1979,8.83,4.188297629
1980,8.04,1.811126567
1981,7.1,1.928764951
1982,4.81,0.417318327
1983,9.02,2.621263978
1984,10.05,4.677725639
1985,4.81,3.712713271
1986,11.51,3.445485957
1987,12.75,3.741077129
1988,8.02,4.6605594
1989,8.72,3.740571865
1990,5.54,2.876178094
1991,8.37,1.446385984
1992,8.31,2.056185917
1993,6.81,1.808395241
1994,7.5,3.29697504
1995,6.5,3.089414694
1996,6.18,3.613832834
1997,6.05,3.869132958
1998,4.2,2.793154083
1999,6.73,3.504464492
2000,6.31,4.50127812
2001,-1.4,2.000110968
2002,5.48,2.337281026
2003,4.22,3.159530563
2004,6.95,4.480069729
2005,5.38,4.04836095
2006,5.77,4.495723183
2007,6.85,4.438863955
2008,0.8,2.000949784
2009,-1.61,-1.307019438
2010,10.25,4.494859958
2011,3.67,3.339730737
2012,2.22,2.673059736
2013,2.48,2.844854419
2014,4.72,3.117863209
2015,1.47,3.168372976
2016,2.17,2.825118027
2017,3.31,3.394423427
2018,2.79,3.269672697
2019,2.96,2.60087777
2020,3.12,-3.293496599
